project_path,version,lines,statement,suspicious,faulty,predict,miss_line,predictions0,predictions1
org/jfree/chart/imagemap/ImageMapUtilities,10,63,public class ImageMapUtilities {,0.0,0,,0,0.001665963763930483,0.9983340362360695
org/jfree/chart/imagemap/ImageMapUtilities,10,79,"        ImageMapUtilities.writeImageMap(writer, name, info,",0.0,0,,0,0.010734576056826246,0.9892654239431743
org/jfree/chart/imagemap/ImageMapUtilities,10,83,    },0.0,0,,0,0.010152050986122315,0.9898479490138784
org/jfree/chart/imagemap/ImageMapUtilities,10,102,        ToolTipTagFragmentGenerator toolTipTagFragmentGenerator = null;,0.0,0,,0,0.017018217734966326,0.9829817822650345
org/jfree/chart/imagemap/ImageMapUtilities,10,103,        if (useOverLibForToolTips) {,0.0,0,,0,0.0005987560299859671,0.9994012439700135
org/jfree/chart/imagemap/ImageMapUtilities,10,104,            toolTipTagFragmentGenerator ,0.0,0,,0,0.006297669536101816,0.993702330463898
org/jfree/chart/imagemap/ImageMapUtilities,10,108,            toolTipTagFragmentGenerator ,0.0,0,,0,0.006297669536101816,0.993702330463898
org/jfree/chart/imagemap/ImageMapUtilities,10,111,"        ImageMapUtilities.writeImageMap(writer, name, info, ",0.0,0,,0,0.010734576056826246,0.9892654239431743
org/jfree/chart/imagemap/ImageMapUtilities,10,115,    },0.0,0,,0,0.010152050986122315,0.9898479490138784
org/jfree/chart/imagemap/ImageMapUtilities,10,138,"        writer.println(ImageMapUtilities.getImageMap(name, info, ",0.0,0,,0,0.022312492456815193,0.9776875075431865
org/jfree/chart/imagemap/ImageMapUtilities,10,140,    },0.0,0,,0,0.010152050986122315,0.9898479490138784
org/jfree/chart/imagemap/ImageMapUtilities,10,152,"        return ImageMapUtilities.getImageMap(name, info,",0.0,0,,0,0.0030755740702987132,0.9969244259297015
org/jfree/chart/imagemap/ImageMapUtilities,10,176,        StringBuffer sb = new StringBuffer();,0.0,0,,0,0.23230457573347976,0.7676954242665217
org/jfree/chart/imagemap/ImageMapUtilities,10,177,"        sb.append(""<map id=\"""" + htmlEscape(name) + ""\"" name=\"""" ",0.0,0,,0,0.028400318517880465,0.9715996814821198
org/jfree/chart/imagemap/ImageMapUtilities,10,179,        sb.append(StringUtilities.getLineSeparator());,0.0,0,,0,0.0033352721034748825,0.9966647278965255
org/jfree/chart/imagemap/ImageMapUtilities,10,180,        EntityCollection entities = info.getEntityCollection();,0.0,0,,0,0.0027607039294230517,0.9972392960705776
org/jfree/chart/imagemap/ImageMapUtilities,10,181,        if (entities != null) {,0.0,0,,0,0.00047524137640789026,0.9995247586235916
