project_path,version,lines,statement,suspicious,faulty,predict,miss_line,predictions0,predictions1
org/jfree/chart/plot/Plot,26,1385,            if (orientation == PlotOrientation.HORIZONTAL) {,242.0,0,,0,0.0014521764968526772,0.9985478235031472
org/jfree/chart/axis/CategoryAxis,26,736,        if (space == null) {,242.0,0,,0,0.0003267509088322953,0.9996732490911674
org/jfree/chart/axis/CategoryAxis,26,741,        if (!isVisible()) {,242.0,0,,0,0.00239475270374986,0.9976052472962508
org/jfree/chart/axis/CategoryAxis,26,746,        double tickLabelHeight = 0.0;,242.0,0,,0,0.0002924662851631474,0.9997075337148378
org/jfree/chart/axis/CategoryAxis,26,747,        double tickLabelWidth = 0.0;,242.0,0,,0,0.00028524583293718054,0.9997147541670635
org/jfree/chart/axis/CategoryAxis,26,748,        if (isTickLabelsVisible()) {,242.0,0,,0,0.001188801808614492,0.9988111981913848
org/jfree/chart/axis/CategoryAxis,26,749,            g2.setFont(getTickLabelFont());,242.0,0,,0,0.015830135162155933,0.9841698648378442
org/jfree/chart/axis/CategoryAxis,26,750,            AxisState state = new AxisState();,242.0,0,,0,0.03652744592039261,0.9634725540796069
org/jfree/chart/axis/CategoryAxis,26,752,"            refreshTicks(g2, state, plotArea, edge);",242.0,0,,0,0.036320781684134044,0.9636792183158651
org/jfree/chart/axis/CategoryAxis,26,753,            if (edge == RectangleEdge.TOP) {,242.0,0,,0,0.0006049807684323379,0.9993950192315674
org/jfree/chart/axis/CategoryAxis,26,756,            else if (edge == RectangleEdge.BOTTOM) {,242.0,0,,0,0.0009733900596209048,0.9990266099403793
org/jfree/chart/axis/CategoryAxis,26,768,"        Rectangle2D labelEnclosure = getLabelEnclosure(g2, edge);",242.0,0,,0,0.014017024538697189,0.9859829754613034
org/jfree/chart/axis/CategoryAxis,26,769,        double labelHeight = 0.0;,242.0,0,,0,0.00026429468780980964,0.9997357053121895
org/jfree/chart/axis/CategoryAxis,26,770,        double labelWidth = 0.0;,242.0,0,,0,0.00025754770520408025,0.9997424522947956
org/jfree/chart/axis/CategoryAxis,26,771,        if (RectangleEdge.isTopOrBottom(edge)) {,242.0,0,,0,0.0039018333801867267,0.9960981666198133
org/jfree/chart/axis/CategoryAxis,26,781,        return space;,242.0,0,,0,0.0001623216890283267,0.999837678310972
org/jfree/chart/axis/CategoryAxis,26,973,        List ticks = new java.util.ArrayList();,242.0,0,,0,0.0009491874529685754,0.9990508125470318
org/jfree/chart/axis/CategoryAxis,26,976,        if (dataArea.getHeight() <= 0.0 || dataArea.getWidth() < 0.0) {,242.0,0,,0,0.057367213695674595,0.942632786304324
org/jfree/chart/axis/CategoryAxis,26,980,        CategoryPlot plot = (CategoryPlot) getPlot();,242.0,0,,0,0.05655022181649359,0.9434497781835071
org/jfree/chart/axis/CategoryAxis,26,981,        List categories = plot.getCategoriesForAxis(this);,242.0,0,,0,0.0023263748061737263,0.9976736251938256
org/jfree/chart/axis/CategoryAxis,26,982,        double max = 0.0;,242.0,0,,0,0.00021361055202057995,0.9997863894479795
org/jfree/chart/axis/CategoryAxis,26,984,        if (categories != null) {,242.0,0,,0,0.0003726493560676927,0.9996273506439323
org/jfree/chart/axis/CategoryAxis,26,985,            CategoryLabelPosition position ,242.0,0,,0,0.002122023736845681,0.9978779762631539
org/jfree/chart/axis/CategoryAxis,26,987,            float r = this.maximumCategoryLabelWidthRatio;,242.0,0,,0,0.0007555771297897677,0.9992444228702094
org/jfree/chart/axis/CategoryAxis,26,988,            if (r <= 0.0) {,242.0,0,,0,0.0004709039234516017,0.9995290960765487
org/jfree/chart/axis/CategoryAxis,26,989,                r = position.getWidthRatio();   ,242.0,0,,0,0.006338911066687741,0.9936610889333117
org/jfree/chart/axis/CategoryAxis,26,992,            float l = 0.0f;,242.0,0,,0,0.0004753232343695869,0.9995246767656301
org/jfree/chart/axis/CategoryAxis,26,993,            if (position.getWidthType() == CategoryLabelWidthType.CATEGORY) {,242.0,0,,0,0.005862000618656438,0.994137999381344
org/jfree/chart/axis/CategoryAxis,26,1005,            int categoryIndex = 0;,242.0,0,,0,0.0005747897886842794,0.999425210211316
org/jfree/chart/axis/CategoryAxis,26,1006,            Iterator iterator = categories.iterator();,242.0,0,,0,0.006018303136021185,0.9939816968639793
org/jfree/chart/axis/CategoryAxis,26,1007,            while (iterator.hasNext()) {,242.0,0,,0,0.0036637792149351,0.9963362207850652
org/jfree/chart/axis/CategoryAxis,26,1026,        state.setMax(max);,242.0,0,,0,0.0012425955908636685,0.998757404409136
org/jfree/chart/axis/CategoryAxis,26,1027,        return ticks;,242.0,0,,0,0.0001623216890283267,0.999837678310972
org/jfree/chart/axis/AxisState,26,184,        return this.max;,242.0,0,,0,0.000165578086415897,0.9998344219135845
org/jfree/chart/axis/AxisState,26,193,        this.max = max;,242.0,0,,0,0.0002468684106065587,0.9997531315893939
org/jfree/chart/axis/AxisState,26,194,    },242.0,0,,0,0.00018059603823600235,0.9998194039617637
org/jfree/chart/axis/CategoryLabelPositions,26,289,        CategoryLabelPosition result = null;,242.0,0,,0,0.0014840257131407228,0.9985159742868585
org/jfree/chart/axis/CategoryLabelPositions,26,290,        if (edge == RectangleEdge.TOP) {,242.0,0,,0,0.0003661220929264982,0.9996338779070735
org/jfree/chart/axis/CategoryLabelPositions,26,293,        else if (edge == RectangleEdge.BOTTOM) {,242.0,0,,0,0.00041399293673944026,0.9995860070632604
org/jfree/chart/axis/CategoryLabelPositions,26,302,        return result;,242.0,0,,0,0.0001669693800358219,0.9998330306199638
org/jfree/chart/axis/CategoryLabelPosition,26,219,        return this.widthType;   ,242.0,0,,0,0.00019475029758723642,0.9998052497024131
org/jfree/chart/axis/CategoryLabelPosition,26,228,        return this.widthRatio;   ,242.0,0,,0,0.00019993856858398727,0.9998000614314162
org/jfree/chart/plot/CategoryPlot,26,708,        return getDomainAxisLocation(0);,242.0,0,,0,0.0004690746907346577,0.9995309253092655
org/jfree/chart/plot/CategoryPlot,26,721,        AxisLocation result = null;,242.0,0,,0,0.0011922199577274505,0.9988077800422723
org/jfree/chart/plot/CategoryPlot,26,722,        if (index < this.domainAxisLocations.size()) {,242.0,0,,0,0.0013862051266577068,0.9986137948733416
org/jfree/chart/plot/CategoryPlot,26,723,            result = (AxisLocation) this.domainAxisLocations.get(index);,242.0,0,,0,0.004562288985854923,0.9954377110141456
org/jfree/chart/plot/CategoryPlot,26,725,        if (result == null) {,242.0,0,,0,0.00033559902027630723,0.9996644009797241
org/jfree/chart/plot/CategoryPlot,26,728,        return result;,242.0,0,,0,0.0001669693800358219,0.9998330306199638
org/jfree/chart/plot/CategoryPlot,26,815,        RectangleEdge result = null;,242.0,0,,0,0.0012226335556065728,0.9987773664443932
org/jfree/chart/plot/CategoryPlot,26,816,        AxisLocation location = getDomainAxisLocation(index);,242.0,0,,0,0.005312037777702732,0.9946879622222973
org/jfree/chart/plot/CategoryPlot,26,817,        if (location != null) {,242.0,0,,0,0.0003537917455569679,0.9996462082544434
org/jfree/chart/plot/CategoryPlot,26,818,"            result = Plot.resolveDomainAxisLocation(location, this.orientation);",242.0,0,,0,0.005237966103932726,0.9947620338960679
org/jfree/chart/plot/CategoryPlot,26,823,        return result;,242.0,0,,0,0.0001669693800358219,0.9998330306199638
org/jfree/chart/plot/CategoryPlot,26,976,        AxisLocation result = null;,242.0,0,,0,0.0011922199577274505,0.9988077800422723
org/jfree/chart/plot/CategoryPlot,26,977,        if (index < this.rangeAxisLocations.size()) {,242.0,0,,0,0.001356970052443522,0.998643029947557
org/jfree/chart/plot/CategoryPlot,26,978,            result = (AxisLocation) this.rangeAxisLocations.get(index);,242.0,0,,0,0.0044797933638312856,0.995520206636168
org/jfree/chart/plot/CategoryPlot,26,980,        if (result == null) {,242.0,0,,0,0.00033559902027630723,0.9996644009797241
org/jfree/chart/plot/CategoryPlot,26,983,        return result;,242.0,0,,0,0.0001669693800358219,0.9998330306199638
org/jfree/chart/plot/CategoryPlot,26,1067,        AxisLocation location = getRangeAxisLocation(index);,242.0,0,,0,0.005208241289881094,0.994791758710119
org/jfree/chart/plot/CategoryPlot,26,1068,"        RectangleEdge result = Plot.resolveRangeAxisLocation(location, ",242.0,0,,0,0.01207715129901444,0.9879228487009848
org/jfree/chart/plot/CategoryPlot,26,1070,        if (result == null) {,242.0,0,,0,0.00033559902027630723,0.9996644009797241
org/jfree/chart/plot/CategoryPlot,26,1073,        return result;,242.0,0,,0,0.0001669693800358219,0.9998330306199638
org/jfree/chart/plot/CategoryPlot,26,1727,        LegendItemCollection result = this.fixedLegendItems;,242.0,0,,0,0.0013995223229560884,0.9986004776770446
org/jfree/chart/plot/CategoryPlot,26,1728,        if (result == null) {,242.0,0,,0,0.00033559902027630723,0.9996644009797241
org/jfree/chart/plot/CategoryPlot,26,1729,            result = new LegendItemCollection();,242.0,0,,0,0.005357470796835138,0.9946425292031644
org/jfree/chart/plot/CategoryPlot,26,1731,            int count = this.datasets.size();,242.0,0,,0,0.000851193612321209,0.9991488063876788
org/jfree/chart/plot/CategoryPlot,26,1732,            for (int datasetIndex = 0; datasetIndex < count; datasetIndex++) {,242.0,0,,0,0.0009456342954507902,0.9990543657045483
org/jfree/chart/plot/CategoryPlot,26,1733,                CategoryDataset dataset = getDataset(datasetIndex);,242.0,0,,0,0.02761607639316504,0.9723839236068355
org/jfree/chart/plot/CategoryPlot,26,1734,                if (dataset != null) {,242.0,0,,0,0.0019042635092952733,0.9980957364907052
org/jfree/chart/plot/CategoryPlot,26,1749,        return result;,242.0,0,,0,0.0001669693800358219,0.9998330306199638
org/jfree/chart/plot/CategoryPlot,26,2410,        if (space == null) {,242.0,0,,0,0.0003267509088322953,0.9996732490911674
org/jfree/chart/plot/CategoryPlot,26,2415,        if (this.fixedDomainAxisSpace != null) {,242.0,0,,0,0.0004264832171468376,0.9995735167828531
org/jfree/chart/plot/CategoryPlot,26,2431,            RectangleEdge domainEdge = Plot.resolveDomainAxisLocation(,242.0,0,,0,0.009877730714673265,0.9901222692853275
org/jfree/chart/plot/CategoryPlot,26,2433,            if (this.drawSharedDomainAxis) {,242.0,0,,0,0.0007409091902929777,0.9992590908097067
org/jfree/chart/plot/CategoryPlot,26,2439,            for (int i = 0; i < this.domainAxes.size(); i++) {,242.0,0,,0,0.0023480559851481596,0.9976519440148511
org/jfree/chart/plot/CategoryPlot,26,2440,                Axis xAxis = (Axis) this.domainAxes.get(i);,242.0,0,,0,0.16328260506092193,0.8367173949390777
org/jfree/chart/plot/CategoryPlot,26,2441,                if (xAxis != null) {,242.0,0,,0,0.0018057099405018528,0.9981942900594977
org/jfree/chart/plot/CategoryPlot,26,2442,                    RectangleEdge edge = getDomainAxisEdge(i);,242.0,0,,0,0.13741338745136947,0.8625866125486296
org/jfree/chart/plot/CategoryPlot,26,2443,"                    space = xAxis.reserveSpace(g2, this, plotArea, edge, space);",242.0,0,,0,0.8007883262342319,0.19921167376576723
org/jfree/chart/plot/CategoryPlot,26,2448,        return space;,242.0,0,,0,0.0001623216890283267,0.999837678310972
org/jfree/chart/plot/CategoryPlot,26,2465,        if (space == null) {,242.0,0,,0,0.0003267509088322953,0.9996732490911674
org/jfree/chart/plot/CategoryPlot,26,2470,        if (this.fixedRangeAxisSpace != null) {,242.0,0,,0,0.00041694145179065804,0.999583058548209
org/jfree/chart/plot/CategoryPlot,26,2486,            for (int i = 0; i < this.rangeAxes.size(); i++) {,242.0,0,,0,0.0023005581530077955,0.9976994418469918
org/jfree/chart/plot/CategoryPlot,26,2487,                Axis yAxis = (Axis) this.rangeAxes.get(i);,242.0,0,,0,0.16030039340487942,0.8396996065951203
org/jfree/chart/plot/CategoryPlot,26,2488,                if (yAxis != null) {,242.0,0,,0,0.0018057099405018528,0.9981942900594977
org/jfree/chart/plot/CategoryPlot,26,2489,                    RectangleEdge edge = getRangeAxisEdge(i);,242.0,0,,0,0.13480240502046123,0.865197594979538
org/jfree/chart/plot/CategoryPlot,26,2490,"                    space = yAxis.reserveSpace(g2, this, plotArea, edge, space);",242.0,0,,0,0.8007883262342319,0.19921167376576723
org/jfree/chart/plot/CategoryPlot,26,2494,        return space;,242.0,0,,0,0.0001623216890283267,0.999837678310972
org/jfree/chart/plot/CategoryPlot,26,2508,        AxisSpace space = new AxisSpace();,242.0,0,,0,0.022423898375050783,0.9775761016249488
org/jfree/chart/plot/CategoryPlot,26,2509,"        space = calculateRangeAxisSpace(g2, plotArea, space);",242.0,0,,0,0.02727454889855606,0.9727254511014438
