project_path,version,lines,statement,suspicious,faulty,predict,miss_line,predictions0,predictions1
org/apache/commons/math/exception/util/ExceptionContext,48,39,public class ExceptionContext implements Serializable {,0.25,0,,0,0.7999978702153405,0.20000212978465987
org/apache/commons/math/exception/util/ExceptionContext,48,45,    private List<Localizable> msgPatterns = new ArrayList<Localizable>();,0.25,0,,0,0.9999999999999645,3.4387055820221357e-14
org/apache/commons/math/exception/util/ExceptionContext,48,51,    private List<Object[]> msgArguments = new ArrayList<Object[]>();,0.25,0,,0,0.9999999999999645,3.814643613646982e-14
org/apache/commons/math/exception/util/ExceptionContext,48,55,"    private Map<String, Object> context = new HashMap<String, Object>();",0.25,0,,0,1.0,2.447064065870099e-29
org/apache/commons/math/exception/util/ExceptionContext,48,66,        msgPatterns.add(pattern);,0.25,0,,0,0.19171814752671068,0.8082818524732903
org/apache/commons/math/exception/util/ExceptionContext,48,67,        msgArguments.add(ArgUtils.flatten(arguments));,0.25,0,,0,0.20946765364540046,0.7905323463545996
org/apache/commons/math/exception/util/ExceptionContext,48,68,    },0.25,0,,0,0.09902000390471784,0.9009799960952826
org/apache/commons/math/exception/util/LocalizedFormats,48,355,    private LocalizedFormats(final String sourceFormat) {,0.25,0,,0,0.8962309518336836,0.10376904816631657
org/apache/commons/math/exception/util/LocalizedFormats,48,356,        this.sourceFormat = sourceFormat;,0.25,0,,0,0.3144252906046198,0.6855747093953796
org/apache/commons/math/exception/util/LocalizedFormats,48,357,    },0.25,0,,0,0.09902000390471784,0.9009799960952826
org/apache/commons/math/exception/util/LocalizedFormats,48,44,"    ARGUMENT_OUTSIDE_DOMAIN(""Argument {0} outside domain [{1} ; {2}]""),",0.25,0,,0,0.419560891883701,0.5804391081162977
org/apache/commons/math/exception/util/LocalizedFormats,48,45,"    ARRAY_SIZES_SHOULD_HAVE_DIFFERENCE_1(""array sizes should have difference 1 ({0} != {1} + 1)""),",0.25,0,,0,0.43841349732490686,0.5615865026750924
org/apache/commons/math/exception/util/LocalizedFormats,48,46,"    ARRAY_SUMS_TO_ZERO(""array sums to zero""),",0.25,0,,0,0.4112336058523166,0.5887663941476827
org/apache/commons/math/exception/util/LocalizedFormats,48,47,"    ASSYMETRIC_EIGEN_NOT_SUPPORTED(""eigen decomposition of assymetric matrices not supported yet""),",0.25,0,,0,0.3568043998799774,0.6431956001200216
